original,uniformat,equivalent
&Lubos Pástor,&Lubos Pástor,"['&Lubos Pástor', 'Lubos Pástor']"
"Hao, (Grace) Qing",(Grace) Qing Hao,"['Hao, (Grace) Qing']"
1816-1906,1816-1906,['1816-1906']
"Auquier, A A",A A Auquier,"['Auquier, A A']"
"Ryvkin, A A",A A Ryvkin,"['Ryvkin, A A']"
"Abhyankar, A",A Abhyankar,"['Abhyankar, A', 'Abhyankar, Abhay']"
"Schmid, A Allan",A Allan Schmid,"['Schmid, A Allan']"
"Anastasopoulos, A",A Anastasopoulos,"['Anastasopoulos, A']"
"Arnon, A",A Arnon,"['Arnon, A']"
"Salem, A B Z",A B Z Salem,"['Salem, A B Z']"
"Ben-Israel, A",A Ben-Israel,"['Ben-Israel, A']"
"Ben-Tal, A",A Ben-Tal,"['Ben-Tal, A']"
"Charnes, A",A Charnes,"['Charnes, A', 'Charnes, A.', 'A. Charnes']"
"MacKinley, A Craig",A Craig MacKinley,"['MacKinley, A Craig']"
"Bain, A D",A D Bain,"['Bain, A D']"
"Drobny, A",A Drobny,"['Drobny, A', 'Drobny, Andres']"
"Fareed, A E",A E Fareed,"['Fareed, A E']"
"Speight, A E H",A E H Speight,"['Speight, A E H', 'Speight, Alan E H']"
"Safarian, A E",A E Safarian,"['Safarian, A E']"
"Abrassart, A Eugene",A Eugene Abrassart,"['Abrassart, A Eugene']"
"Trotman-Dickenson, A F",A F Trotman-Dickenson,"['Trotman-Dickenson, A F', 'Trotman-Dickenson, D I']"
"Blomqvist, A G",A G Blomqvist,"['Blomqvist, A G', 'Blomqvist, A. G.', 'Blomqvist, Ake', 'Blomqvist, AG.', 'Blomqvist, A.', 'Blomqvist, Ake G']"
"Hines, A G",A G Hines,"['Hines, A G', 'A. G. Hines']"
"Holtmann, A G",A G Holtmann,"['Holtmann, A G', 'A. G. Holtmann']"
"Buckman, A Gregory",A Gregory Buckman,"['Buckman, A Gregory']"
"Barnett, A H",A H Barnett,"['Barnett, A H', 'Barnett, Andy H']"
"Robertson, A Haeworth",A Haeworth Robertson,"['Robertson, A Haeworth']"
"Holly, A",A Holly,"['Holly, A', 'Holly, Alberto']"
"MacBean, A I",A I MacBean,"['MacBean, A I']"
"Macbean, A I",A I Macbean,"['Macbean, A I']"
"Boness, A J",A J Boness,"['Boness, A J', 'Boness, A James', 'A. James Boness']"
"Britton, A J C",A J C Britton,"['Britton, A J C', 'Britton, Andrew']"
"Douglas, A J",A J Douglas,"['Douglas, A J', 'A. Douglas', 'Douglas, Aaron J', 'Alan V. S. Douglas']"
"Kalotay, A J",A J Kalotay,"['Kalotay, A J']"
"Lerro, A J",A J Lerro,"['Lerro, A J']"
"Senchack, A J, Jr",A J Senchack,"['Senchack, A J, Jr']"
"Kate, A",A Kate,"['Kate, A']"
"Levine, A L",A L Levine,"['Levine, A L']"
"Soyster, A L",A L Soyster,"['Soyster, A L']"
"Stroyny, A L",A L Stroyny,"['Stroyny, A L']"
A Landier,A Landier,"['A Landier', 'Landier, Augustin', 'Augustin Landier']"
"Bovenberg, A Lans",A Lans Bovenberg,"['Bovenberg, A Lans', 'Lans Bovenberg, A.', 'Bovenberg, A. L.', 'de Bovenberg, A Lans', 'Bovenberg, A. Lans']"
"Robb, A Leslie",A Leslie Robb,"['Robb, A Leslie', 'Alicia M. Robb', 'Robb, A. L.']"
"Agapos, A M",A M Agapos,"['Agapos, A M', 'A. M. Agapos']"
"Buoncristiani, A M",A M Buoncristiani,"['Buoncristiani, A M']"
"Mood, A M",A M Mood,"['Mood, A M']"
"Melnik, A",A Melnik,"['Melnik, A', 'Melnik, Arie']"
"Polinsky, A Mitchell",A Mitchell Polinsky,"['Polinsky, A Mitchell', 'Polinsky, Mitchell', 'Mitchell Polinsky, A.', 'Polinsky, A. Mitchell', 'A. Mitchell Polinsky']"
"Barten, A P",A P Barten,"['Barten, A P', 'Barten, A. P.', 'Barten, Anton', 'Barten, Anton P.', 'Barten, Anton P', 'A. P. Barten']"
"Appleyard, A R",A R Appleyard,"['Appleyard, A R']"
