original,uniformat,equivalent
"Gunay, Erdal",Erdal Gunay,"['Gunay, Erdal']"
Erdal Tekin,Erdal Tekin,"['Erdal Tekin', 'Tekin, Erdal']"
Erdal Yalcin,Erdal Yalcin,['Erdal Yalcin']
"Basci, Erdem",Erdem Basci,"['Basci, Erdem']"
"Ucar, Erdem",Erdem Ucar,"['Ucar, Erdem']"
Erdenebat Bataa,Erdenebat Bataa,['Erdenebat Bataa']
"Artuc, Erhan",Erhan Artuc,"['Artuc, Erhan']"
Erhan Artuç,Erhan Artuç,"['Erhan Artuç', 'Artuç, Erhan']"
Erhun Kula,Erhun Kula,['Erhun Kula']
"Hanushek, Eric A",Eric A Hanushek,"['Hanushek, Eric A', 'Hanushek, Eric', 'Eric A. Hanushek', 'Eric Hanushek', 'Hanushek, Eric A.']"
Eric A. Johnston,Eric A. Johnston,['Eric A. Johnston']
"Li, Eric Ah Lik",Eric Ah Lik Li,"['Li, Eric Ah Lik']"
"Anderson, Eric",Eric Anderson,"['Anderson, Eric', 'Eric T. Anderson', 'Anderson, Eric T.', 'Eric Anderson']"
Eric Arentsen,Eric Arentsen,['Eric Arentsen']
"Lindenberg, Eric B.",Eric B. Lindenberg,"['Lindenberg, Eric B.']"
Eric Ball,Eric Ball,['Eric Ball']
"Bettinger, Eric",Eric Bettinger,"['Bettinger, Eric', 'Eric Bettinger', 'Eric P. Bettinger']"
Eric Brucker,Eric Brucker,"['Eric Brucker', 'Brucker, Eric']"
"Brunner, Eric",Eric Brunner,"['Brunner, Eric', 'Eric J. Brunner', 'Brunner, Eric J.', 'Eric Brunner']"
Eric Budish,Eric Budish,['Eric Budish']
"Howe, Eric C",Eric C Howe,"['Howe, Eric C']"
"Chang, Eric C.",Eric C. Chang,"['Chang, Eric C.', 'Chang, Eric C', 'Eric C. Chang', 'Chang, Eric']"
Eric C. So,Eric C. So,"['Eric C. So', 'So, Eric C.']"
"Ng, Eric C.Y.",Eric C.Y. Ng,"['Ng, Eric C.Y.']"
Eric Chaney,Eric Chaney,['Eric Chaney']
"Clayton, Eric",Eric Clayton,"['Clayton, Eric']"
"Wolff, Eric D",Eric D Wolff,"['Wolff, Eric D']"
"Danan, Eric",Eric Danan,"['Danan, Eric', 'Eric Danan']"
"Duca, Eric",Eric Duca,"['Duca, Eric']"
"Eisenstat, Eric",Eric Eisenstat,"['Eisenstat, Eric']"
Eric Englund,Eric Englund,['Eric Englund']
"Engstrom, Eric",Eric Engstrom,"['Engstrom, Eric', 'Eric Engstrom']"
"Floyd, Eric",Eric Floyd,"['Floyd, Eric']"
Eric French,Eric French,['Eric French']
"Falkenstein, Eric G",Eric G Falkenstein,"['Falkenstein, Eric G']"
Eric Gautier,Eric Gautier,['Eric Gautier']
"Ghysels, Eric",Eric Ghysels,"['Ghysels, Eric', 'Eric Ghysels', 'Ghysels, E.']"
"Giambattista, Eric",Eric Giambattista,"['Giambattista, Eric']"
"Girardin, Eric",Eric Girardin,"['Girardin, Eric']"
"Grosse, Eric",Eric Grosse,"['Grosse, Eric']"
"Sorensen, Eric H",Eric H Sorensen,"['Sorensen, Eric H']"
Eric Helland,Eric Helland,['Eric Helland']
"Hillebrand, Eric",Eric Hillebrand,"['Hillebrand, Eric']"
Eric Hilt,Eric Hilt,['Eric Hilt']
"Hirschhorn, Eric",Eric Hirschhorn,"['Hirschhorn, Eric']"
Eric Hughson,Eric Hughson,"['Eric Hughson', 'Hughson, Eric']"
"Im, Eric Iksoon",Eric Iksoon Im,"['Im, Eric Iksoon']"
"Bartelsman, Eric J",Eric J Bartelsman,"['Bartelsman, Eric J', 'Eric Bartelsman', 'Eric J. Bartelsman', 'Bartelsman, Eric J.']"
"Pentecost, Eric J",Eric J Pentecost,"['Pentecost, Eric J']"
"Toder, Eric J",Eric J Toder,"['Toder, Eric J', 'Eric J. Toder']"
"Friedman, Eric J.",Eric J. Friedman,"['Friedman, Eric J.', 'Friedman, Eric']"
"Higgins, Eric J.",Eric J. Higgins,"['Higgins, Eric J.']"
"Johnson, Eric J.",Eric J. Johnson,"['Johnson, Eric J.', 'E. A. J. Johnson', 'Eric Johnson']"
"Jacquier, Eric",Eric Jacquier,"['Jacquier, Eric']"
"Jondeau, Eric",Eric Jondeau,"['Jondeau, Eric']"
Eric K. Kelley,Eric K. Kelley,['Eric K. Kelley']
"Mais, Eric L",Eric L Mais,"['Mais, Eric L']"
"Talley, Eric L",Eric L Talley,"['Talley, Eric L']"
Eric M. Engen,Eric M. Engen,"['Eric M. Engen', 'Engen, Eric M.', 'Engen, Eric M']"
Eric M. Leeper,Eric M. Leeper,"['Eric M. Leeper', 'Leeper, Eric M.', 'Leeper, Eric M']"
Eric M. Rice,Eric M. Rice,['Eric M. Rice']
Eric M. Zolt,Eric M. Zolt,['Eric M. Zolt']
Eric Maurin,Eric Maurin,"['Eric Maurin', 'Maurin, Eric']"
"Mayer, Eric",Eric Mayer,"['Mayer, Eric']"
"Monke, Eric",Eric Monke,"['Monke, Eric', 'Monke, Eric A']"
Eric Monnet,Eric Monnet,['Eric Monnet']
"Moulines, Eric",Eric Moulines,"['Moulines, Eric', 'Eric Moulines']"
Eric Neis,Eric Neis,['Eric Neis']
Eric Nowak,Eric Nowak,['Eric Nowak']
Eric Nowell,Eric Nowell,['Eric Nowell']
"Nævdal, Eric",Eric Nævdal,"['Nævdal, Eric']"
"Fisher, Eric ON.",Eric ON. Fisher,"['Fisher, Eric ON.', ""Fisher, Eric O'n."", ""Fisher, Eric O'N."", 'Fisher, Eric', ""Fisher, Eric O'N"", ""Eric O'N. Fisher""]"
"Osmer, Eric",Eric Osmer,"['Osmer, Eric']"
"Briys, Eric P",Eric P Briys,"['Briys, Eric P', 'Briys, Eric']"
Eric P. Chiang,Eric P. Chiang,['Eric P. Chiang']
"Peree, Eric",Eric Peree,"['Peree, Eric']"
Eric Posner,Eric Posner,"['Eric Posner', 'Posner, Eric A']"
Eric Powers,Eric Powers,"['Eric Powers', 'Powers, Eric A.', 'Powers, Eric']"
"Nelson, Eric R",Eric R Nelson,"['Nelson, Eric R', 'Nelson, E.']"
"Rosenfeld, Eric R",Eric R Rosenfeld,"['Rosenfeld, Eric R', 'Rosenfeld, Eric', 'Rosenfeld, Eric R.']"
"Brisker, Eric R.",Eric R. Brisker,"['Brisker, Eric R.']"
"Sims, Eric R.",Eric R. Sims,"['Sims, Eric R.', 'Eric R. Sims']"
"Sowey, Eric R.",Eric R. Sowey,"['Sowey, Eric R.']"
Eric R. Young,Eric R. Young,"['Eric R. Young', 'Young, Eric R.']"
Eric Rasmusen,Eric Rasmusen,"['Eric Rasmusen', 'Eric B. Rasmusen', 'Rasmusen, Eric B']"
"Reinhardt, Eric",Eric Reinhardt,"['Reinhardt, Eric']"
"Rosengren, Eric",Eric Rosengren,"['Rosengren, Eric', 'Rosengren, Eric S', 'Eric S. Rosengren', 'Rosengren, Eric S.', 'Eric Rosengren']"
"Santor, Eric",Eric Santor,"['Santor, Eric']"
"Seiler, Eric",Eric Seiler,"['Seiler, Eric']"
"Slud, Eric",Eric Slud,"['Slud, Eric']"
"Stallard, Eric",Eric Stallard,"['Stallard, Eric']"
"Strobl, Eric",Eric Strobl,"['Strobl, Eric', 'Eric Strobl']"
Eric Sun,Eric Sun,"['Eric Sun', 'Sun, Eric']"
"Swanson, Eric",Eric Swanson,"['Swanson, Eric', 'Eric T. Swanson', 'Swanson, Eric T.', 'Eric Swanson', 'Eric T Swanson']"
Eric T. Stuen,Eric T. Stuen,['Eric T. Stuen']
"Taylor, Eric",Eric Taylor,"['Taylor, Eric', 'Eric S. Taylor']"
"Toulemonde, Eric",Eric Toulemonde,"['Toulemonde, Eric']"
Eric V. Edmonds,Eric V. Edmonds,"['Eric V. Edmonds', 'Edmonds, Eric V.']"
"Tassel, Eric Van",Eric Van Tassel,"['Tassel, Eric Van', 'Van Tassel, Eric']"
Eric Van Wincoop,Eric Van Wincoop,"['Eric Van Wincoop', 'Wincoop, Eric van', 'van Wincoop, Eric', 'Eric van Wincoop']"
Eric Van den Steen,Eric Van den Steen,['Eric Van den Steen']
Eric Verhoogen,Eric Verhoogen,"['Eric Verhoogen', 'Eric A. Verhoogen']"
"Bond, Eric W.",Eric W. Bond,"['Bond, Eric W.', 'Bond, Eric', 'Bond, Eric W', 'Eric W. Bond']"
"Cope, Eric W.",Eric W. Cope,"['Cope, Eric W.']"
Eric W. Lawson,Eric W. Lawson,['Eric W. Lawson']
Eric W. Wehrly,Eric W. Wehrly,['Eric W. Wehrly']
"Weisbrod, Eric",Eric Weisbrod,"['Weisbrod, Eric']"
"Werker, Eric",Eric Werker,"['Werker, Eric', 'Eric Werker']"
Eric Yeung,Eric Yeung,['Eric Yeung']
"Zitzewitz, Eric",Eric Zitzewitz,"['Zitzewitz, Eric', 'Eric Zitzewitz']"
"Zivot, Eric",Eric Zivot,"['Zivot, Eric', 'Eric Zivot']"
Eric Zwick,Eric Zwick,['Eric Zwick']
"de Bodt, Eric",Eric de Bodt,"['de Bodt, Eric', 'Bodt, Eric de', 'Eric de Bodt']"
Eric van Damme,Eric van Damme,"['Eric van Damme', 'van Damme, Eric', 'Van Damme, Eric', 'Damme, Eric van']"
Erica Field,Erica Field,['Erica Field']
Erica L. Groshen,Erica L. Groshen,"['Erica L. Groshen', 'Groshen, Erica L.', 'Groshen, Erica L']"
Erica Lindahl,Erica Lindahl,['Erica Lindahl']
"Li, Erica X.N.",Erica X.N. Li,"['Li, Erica X.N.', 'Erica X. N. Li']"
"Battistin, Erich",Erich Battistin,"['Battistin, Erich', 'Erich Battistin']"
"Gundlach, Erich",Erich Gundlach,"['Gundlach, Erich']"
Erich Muehlegger,Erich Muehlegger,"['Erich Muehlegger', 'Muehlegger, Erich']"
Erich Schiff,Erich Schiff,['Erich Schiff']
Erick Gong,Erick Gong,['Erick Gong']
Erik ?. S?rensen,Erik ?. S?rensen,['Erik ?. S?rensen']
"Berglof, Erik",Erik Berglof,"['Berglof, Erik', 'Erik Berglof']"
Erik Berglöf,Erik Berglöf,['Erik Berglöf']
"Biorn, Erik",Erik Biorn,"['Biorn, Erik']"
Erik Bloom,Erik Bloom,['Erik Bloom']
Erik Brynjolfsson,Erik Brynjolfsson,['Erik Brynjolfsson']
"Craft, Erik D",Erik D Craft,"['Craft, Erik D']"
"Devos, Erik",Erik Devos,"['Devos, Erik', 'Erik Devos']"
"Dietzenbacher, Erik",Erik Dietzenbacher,"['Dietzenbacher, Erik']"
Erik Durbin,Erik Durbin,['Erik Durbin']
Erik Eyster,Erik Eyster,['Erik Eyster']
"Feijen, Erik",Erik Feijen,"['Feijen, Erik']"
"Fernau, Erik",Erik Fernau,"['Fernau, Erik']"
Erik Gilliland,Erik Gilliland,['Erik Gilliland']
"Grönqvist, Erik",Erik Grönqvist,"['Grönqvist, Erik', 'Erik Grönqvist']"
"Haugom, Erik",Erik Haugom,"['Haugom, Erik']"
Erik Hernæs,Erik Hernæs,"['Erik Hernæs', 'Hernæs, Erik']"
Erik Hjalmarsson,Erik Hjalmarsson,"['Erik Hjalmarsson', 'Hjalmarsson, Erik']"
Erik Hoelzl,Erik Hoelzl,['Erik Hoelzl']
"Hoffmeyer, Erik",Erik Hoffmeyer,"['Hoffmeyer, Erik']"
"Hornung, Erik",Erik Hornung,"['Hornung, Erik', 'Erik Hornung']"
"Hurst, Erik",Erik Hurst,"['Hurst, Erik', 'Erik Hurst']"
"Balder, Erik J.",Erik J. Balder,"['Balder, Erik J.']"
"Plug, Erik J. S.",Erik J. S. Plug,"['Plug, Erik J. S.', 'Erik Plug']"
"Kole, Erik",Erik Kole,"['Kole, Erik']"
Erik Lichtenberg,Erik Lichtenberg,"['Erik Lichtenberg', 'Lichtenberg, Erik']"
"Lie, Erik",Erik Lie,"['Lie, Erik']"
Erik Lindqvist,Erik Lindqvist,['Erik Lindqvist']
Erik Loualiche,Erik Loualiche,['Erik Loualiche']
"Lundberg, Erik",Erik Lundberg,"['Lundberg, Erik']"
Erik Madsen,Erik Madsen,['Erik Madsen']
Erik Mathijs,Erik Mathijs,['Erik Mathijs']
"Meijer, Erik",Erik Meijer,"['Meijer, Erik']"
Erik Meyersson,Erik Meyersson,['Erik Meyersson']
"Mohlin, Erik",Erik Mohlin,"['Mohlin, Erik']"
"Mäkelä, Erik",Erik Mäkelä,"['Mäkelä, Erik']"
Erik O. Kimbrough,Erik O. Kimbrough,['Erik O. Kimbrough']
Erik P. Gilje,Erik P. Gilje,['Erik P. Gilje']
Erik R. Sirri,Erik R. Sirri,"['Erik R. Sirri', 'Sirri, Erik R']"
"Ruist, Erik",Erik Ruist,"['Ruist, Erik']"
"Kragas, Erik S",Erik S Kragas,"['Kragas, Erik S']"
Erik Schedvin,Erik Schedvin,['Erik Schedvin']
"Schokkaert, Erik",Erik Schokkaert,"['Schokkaert, Erik']"
Erik Snowberg,Erik Snowberg,['Erik Snowberg']
"Stafford, Erik",Erik Stafford,"['Stafford, Erik', 'Erik Stafford']"
"Verhoef, Erik T.",Erik T. Verhoef,"['Verhoef, Erik T.']"
"Theissen, Erik",Erik Theissen,"['Theissen, Erik', 'Erik Theissen']"
"Thorbecke, Erik",Erik Thorbecke,"['Thorbecke, Erik']"
"Wachtenheim, Erik",Erik Wachtenheim,"['Wachtenheim, Erik']"
Erik Wengstrom,Erik Wengstrom,['Erik Wengstrom']
"Wengström, Erik",Erik Wengström,"['Wengström, Erik']"
Erik Ø Sørensen,Erik Ø Sørensen,"['Erik Ø Sørensen', 'Sørensen, Erik Ø.', 'Erik Ø. Sørensen', 'Erik O. Sørensen']"
Erika Färnstrand Damsgaard,Erika Färnstrand Damsgaard,['Erika Färnstrand Damsgaard']
Erika McEntarfer,Erika McEntarfer,['Erika McEntarfer']
"Seki, Erika",Erika Seki,"['Seki, Erika']"
Erin K. Kaplan,Erin K. Kaplan,['Erin K. Kaplan']
Erin L. Scott,Erin L. Scott,['Erin L. Scott']
"Towery, Erin M.",Erin M. Towery,"['Towery, Erin M.']"
"Lu, Erin P.",Erin P. Lu,"['Lu, Erin P.']"
Erin Robertson,Erin Robertson,['Erin Robertson']
"Mansur, Erin T.",Erin T. Mansur,"['Mansur, Erin T.', 'Erin T. Mansur']"
Erin Todd,Erin Todd,['Erin Todd']
"Bronchetti, Erin Todd",Erin Todd Bronchetti,"['Bronchetti, Erin Todd']"
Erin Troland,Erin Troland,['Erin Troland']
"Yeldan, Erinc",Erinc Yeldan,"['Yeldan, Erinc']"
"Gören, Erkan",Erkan Gören,"['Gören, Erkan']"
"Bairam, Erkin I",Erkin I Bairam,"['Bairam, Erkin I']"
Erkki Koskela,Erkki Koskela,"['Erkki Koskela', 'Koskela, Erkki']"
"Nikoskelainen, Erkki",Erkki Nikoskelainen,"['Nikoskelainen, Erkki']"
"Etula, Erkko",Erkko Etula,"['Etula, Erkko', 'Erkko Etula']"
Erkut Y. Ozbay,Erkut Y. Ozbay,"['Erkut Y. Ozbay', 'Ozbay, Erkut Y.']"
"Berg, Erlend",Erlend Berg,"['Berg, Erlend']"
"Nier, Erlend",Erlend Nier,"['Nier, Erlend']"
"Andersen, Erling B.",Erling B. Andersen,"['Andersen, Erling B.']"
"Barth, Erling",Erling Barth,"['Barth, Erling', 'Erling Barth']"
Erling Røed Larsen,Erling Røed Larsen,['Erling Røed Larsen']
"Steigum, Erling, Jr",Erling Steigum,"['Steigum, Erling, Jr', 'Steigum, Erling Jr.']"
Ernan Haruvy,Ernan Haruvy,['Ernan Haruvy']
"Nagata, Ernest A",Ernest A Nagata,"['Nagata, Ernest A']"
Ernest Aryeetey,Ernest Aryeetey,['Ernest Aryeetey']
Ernest Bloch,Ernest Bloch,['Ernest Bloch']
Ernest C. Carman,Ernest C. Carman,['Ernest C. Carman']
Ernest F. Lloyd,Ernest F. Lloyd,['Ernest F. Lloyd']
Ernest F. Patterson,Ernest F. Patterson,"['Ernest F. Patterson', 'E. M. Patterson']"
"Oksanen, Ernest H",Ernest H Oksanen,"['Oksanen, Ernest H']"
Ernest Kurnow,Ernest Kurnow,['Ernest Kurnow']
Ernest L. Bogart,Ernest L. Bogart,"['Ernest L. Bogart', 'E. L. Bogart']"
Ernest Ludlow Boggart,Ernest Ludlow Boggart,['Ernest Ludlow Boggart']
"Zampelli, Ernest M",Ernest M Zampelli,"['Zampelli, Ernest M', 'Zampelli, Ernest M.']"
Ernest M. Fisher,Ernest M. Fisher,['Ernest M. Fisher']
"Nadel, Ernest",Ernest Nadel,"['Nadel, Ernest']"
Ernest Sergenti,Ernest Sergenti,['Ernest Sergenti']
"Carlson, Ernest W",Ernest W Carlson,"['Carlson, Ernest W']"
Ernest W. Clement,Ernest W. Clement,"['Ernest W. Clement', 'Clement, E.']"
"Ou, Ernest Y.",Ernest Y. Ou,"['Ou, Ernest Y.']"
Ernest van den Haag,Ernest van den Haag,['Ernest van den Haag']
Ernesto Dal Bo,Ernesto Dal Bo,"['Ernesto Dal Bo', 'Dal Bo, Ernesto']"
Ernesto Dal Bó,Ernesto Dal Bó,"['Ernesto Dal Bó', 'Dal Bó, Ernesto']"
"Hernandez-Cata, Ernesto",Ernesto Hernandez-Cata,"['Hernandez-Cata, Ernesto']"
"Córdova, Ernesto López",Ernesto López Córdova,"['Córdova, Ernesto López']"
"Pasten, Ernesto",Ernesto Pasten,"['Pasten, Ernesto']"
"Fontaine, Ernesto R",Ernesto R Fontaine,"['Fontaine, Ernesto R']"
"Reuben, Ernesto",Ernesto Reuben,"['Reuben, Ernesto', 'Ernesto Reuben']"
"Savaglio, Ernesto",Ernesto Savaglio,"['Savaglio, Ernesto']"
"Schargrodsky, Ernesto",Ernesto Schargrodsky,"['Schargrodsky, Ernesto', 'Ernesto Schargrodsky']"
"Stein, Ernesto",Ernesto Stein,"['Stein, Ernesto', 'Ernesto Stein', 'Stein, Ernesto H.']"
"Talvi, Ernesto",Ernesto Talvi,"['Talvi, Ernesto', 'Ernesto Talvi']"
"Tironi, Ernesto",Ernesto Tironi,"['Tironi, Ernesto']"
Ernesto Villanueva,Ernesto Villanueva,"['Ernesto Villanueva', 'Villanueva, Ernesto']"
Ernst A. Dauer,Ernst A. Dauer,['Ernst A. Dauer']
"Baltensperger, Ernst",Ernst Baltensperger,"['Baltensperger, Ernst']"
"Fehr, Ernst, et al",Ernst Fehr,"['Fehr, Ernst, et al', 'Fehr, Ernst', 'Ernst Fehr']"
Ernst Freund,Ernst Freund,['Ernst Freund']
"Hansen, Ernst",Ernst Hansen,"['Hansen, Ernst']"
Ernst Loeb,Ernst Loeb,['Ernst Loeb']
"Lutz, Ernst",Ernst Lutz,"['Lutz, Ernst']"
"Maug, Ernst",Ernst Maug,"['Maug, Ernst', 'Ernst Maug']"
"Mohr, Ernst",Ernst Mohr,"['Mohr, Ernst']"
"Berndt, Ernst R.",Ernst R. Berndt,"['Berndt, Ernst R.', 'Berndt, E. R.', 'Ernst R. Berndt', 'Berndt, Ernst R', 'Berndt, Ernst R, et al']"
"Schaumburg, Ernst",Ernst Schaumburg,"['Schaumburg, Ernst']"
"von Thadden, Ernst-Ludwig",Ernst-Ludwig von Thadden,"['von Thadden, Ernst-Ludwig', 'Ernst-Ludwig von Thadden', 'Ernst-Ludwig Von Thadden']"
Errol Glustoff,Errol Glustoff,"['Errol Glustoff', 'E. Glustoff', 'Glustoff, Errol']"
Erskine McKinley,Erskine McKinley,['Erskine McKinley']
"Xiao, Erte",Erte Xiao,"['Xiao, Erte']"
Erven J. Long,Erven J. Long,['Erven J. Long']
Erwan Gautier,Erwan Gautier,['Erwan Gautier']
"Morellec, Erwan",Erwan Morellec,"['Morellec, Erwan', 'Erwan Morellec']"
"Quintin, Erwan",Erwan Quintin,"['Quintin, Erwan', 'Erwan Quintin']"
Erwann Michel-Kerjan,Erwann Michel-Kerjan,"['Erwann Michel-Kerjan', 'Erwann O. Michel-Kerjan']"
"Charlier, Erwin",Erwin Charlier,"['Charlier, Erwin']"
Erwin Diewert,Erwin Diewert,['Erwin Diewert']
Erwin Esser Nemmers,Erwin Esser Nemmers,['Erwin Esser Nemmers']
Erwin Graue,Erwin Graue,['Erwin Graue']
"Bulte, Erwin H.",Erwin H. Bulte,"['Bulte, Erwin H.', 'Erwin Bulte', 'Erwin H. Bulte', 'Bulte, Erwin']"
"Hansen, Erwin",Erwin Hansen,"['Hansen, Erwin']"
"Saniga, Erwin M.",Erwin M. Saniga,"['Saniga, Erwin M.']"
Erwin Nasse,Erwin Nasse,['Erwin Nasse']
"Ooghe, Erwin",Erwin Ooghe,"['Ooghe, Erwin', 'Erwin Ooghe']"
Erwin R. Tiongson,Erwin R. Tiongson,['Erwin R. Tiongson']
"Heri, Erwin W.",Erwin W. Heri,"['Heri, Erwin W.']"
Erzo G. J. Luttmer,Erzo G. J. Luttmer,"['Erzo G. J. Luttmer', 'Erzo F.P. Luttmer', 'Erzo F. P. Luttmer', 'Luttmer, Erzo G.J.', 'Luttmer, Erzo G J', 'Luttmer, Erzo F.P.']"
"Jokivuolle, Esa",Esa Jokivuolle,"['Jokivuolle, Esa']"
"Hedegaard, Esben",Esben Hedegaard,"['Hedegaard, Esben']"
Esben Schultz,Esben Schultz,['Esben Schultz']
Esen Sirel,Esen Sirel,['Esen Sirel']
Esfandiar Maasoumi,Esfandiar Maasoumi,"['Esfandiar Maasoumi', 'Maasoumi, Esfandiar']"
"Alvi, Eskander",Eskander Alvi,"['Alvi, Eskander']"
Eskil Heinesen,Eskil Heinesen,['Eskil Heinesen']
"Leskinen, Esko",Esko Leskinen,"['Leskinen, Esko']"
"Niskanen, Esko",Esko Niskanen,"['Niskanen, Esko']"
Esmeralda A. Ramalho,Esmeralda A. Ramalho,"['Esmeralda A. Ramalho', 'Ramalho, Esmeralda A.']"
"Henriksen, Espen",Espen Henriksen,"['Henriksen, Espen']"
Espen R. Moen,Espen R. Moen,"['Espen R. Moen', 'Espen R Moen', 'Moen, Espen R.', 'Moen, Espen R']"
"Villanger, Espen",Espen Villanger,"['Villanger, Espen']"
Estal E. Sparlin,Estal E. Sparlin,['Estal E. Sparlin']
"Khmaladze, Estate",Estate Khmaladze,"['Khmaladze, Estate']"
"Klor, Esteban F.",Esteban F. Klor,"['Klor, Esteban F.', 'Esteban F. Klor']"
"Hnyilicza, Esteban",Esteban Hnyilicza,"['Hnyilicza, Esteban']"
"Indurain, Esteban",Esteban Indurain,"['Indurain, Esteban']"
"Jaimovich, Esteban",Esteban Jaimovich,"['Jaimovich, Esteban']"
Esteban Joan,Esteban Joan,['Esteban Joan']
Esteban Joan Maria,Esteban Joan Maria,['Esteban Joan Maria']
Esteban M. Aucejo,Esteban M. Aucejo,['Esteban M. Aucejo']
"Oloriz, Esteban",Esteban Oloriz,"['Oloriz, Esteban']"
"Rossi-Hansberg, Esteban",Esteban Rossi-Hansberg,"['Rossi-Hansberg, Esteban', 'Esteban Rossi-Hansberg']"
Esteban Rossi?Hansberg,Esteban Rossi?Hansberg,['Esteban Rossi?Hansberg']
"Vesperoni, Esteban",Esteban Vesperoni,"['Vesperoni, Esteban']"
"Santacreu-Vasut, Estefania",Estefania Santacreu-Vasut,"['Santacreu-Vasut, Estefania']"
"Dagum, Estela Bee",Estela Bee Dagum,"['Dagum, Estela Bee']"
"Gorbea, Estela Patino",Estela Patino Gorbea,"['Gorbea, Estela Patino']"
Estelle Cantillon,Estelle Cantillon,['Estelle Cantillon']
"James, Estelle",Estelle James,"['James, Estelle', 'James, Estelle, et al']"
"Malavolti-Grimal, Estelle",Estelle Malavolti-Grimal,"['Malavolti-Grimal, Estelle']"
"Boserup, Ester",Ester Boserup,"['Boserup, Ester', 'Ester Boserup']"
"Camiña, Ester",Ester Camiña,"['Camiña, Ester']"
"Faia, Ester",Ester Faia,"['Faia, Ester']"
Esther Ann Boler,Esther Ann Boler,['Esther Ann Boler']
Esther Ann Bøler,Esther Ann Bøler,"['Esther Ann Bøler', 'Bøler, Esther Ann']"
"Arenas-Arroyo, Esther",Esther Arenas-Arroyo,"['Arenas-Arroyo, Esther']"
"Bruegger, Esther",Esther Bruegger,"['Bruegger, Esther']"
"Suss, Esther C",Esther C Suss,"['Suss, Esther C']"
"Duflo, Esther",Esther Duflo,"['Duflo, Esther', 'Esther Duflo']"
Esther Eiling,Esther Eiling,['Esther Eiling']
"Gal-Or, Esther",Esther Gal-Or,"['Gal-Or, Esther', 'Esther Gal-Or']"
Esther Gal-or,Esther Gal-or,['Esther Gal-or']
Esther Hauk,Esther Hauk,"['Esther Hauk', 'Hauk, Esther']"
Esther Lowenthal,Esther Lowenthal,['Esther Lowenthal']
Esther Ruiz,Esther Ruiz,"['Esther Ruiz', 'Ruiz, Esther']"
"Prasad, Eswar S.",Eswar S. Prasad,"['Prasad, Eswar S.', 'Prasad, Eswar S', 'Eswar S. Prasad', 'Prasad, Eswar']"
Ethan B. Kapstein,Ethan B. Kapstein,['Ethan B. Kapstein']
"Bueno de Mesquita, Ethan",Ethan Bueno de Mesquita,"['Bueno de Mesquita, Ethan', 'Ethan Bueno de Mesquita']"
"Cohen-Cole, Ethan",Ethan Cohen-Cole,"['Cohen-Cole, Ethan', 'Ethan Cohen-Cole']"
"Ilzetzki, Ethan",Ethan Ilzetzki,"['Ilzetzki, Ethan', 'Ethan Ilzetzki']"
Ethan Kaplan,Ethan Kaplan,['Ethan Kaplan']
"Ligon, Ethan",Ethan Ligon,"['Ligon, Ethan', 'Ethan Ligon']"
"Namvar, Ethan",Ethan Namvar,"['Namvar, Ethan']"
Ethel B. Dietrich,Ethel B. Dietrich,['Ethel B. Dietrich']
Etienne Antonelli,Etienne Antonelli,['Etienne Antonelli']
"Yehoue, Etienne B.",Etienne B. Yehoue,"['Yehoue, Etienne B.']"
"Billette de Villemeur, Etienne",Etienne Billette de Villemeur,"['Billette de Villemeur, Etienne']"
Etienne Comon,Etienne Comon,['Etienne Comon']
"Gagnon, Etienne",Etienne Gagnon,"['Gagnon, Etienne', 'Etienne Gagnon']"
Etienne Lehmann,Etienne Lehmann,"['Etienne Lehmann', 'Lehmann, Etienne']"
"Losq, Etienne",Etienne Losq,"['Losq, Etienne']"
Etienne Ollion,Etienne Ollion,['Etienne Ollion']
"Tanre, Etienne",Etienne Tanre,"['Tanre, Etienne']"
"Wasmer, Etienne",Etienne Wasmer,"['Wasmer, Etienne', 'Etienne Wasmer']"
Etsuro Shioji,Etsuro Shioji,"['Etsuro Shioji', 'Shioji, Etsuro']"
"Masuda, Etsusuke",Etsusuke Masuda,"['Masuda, Etsusuke']"
"Baranoff, Etti G.",Etti G. Baranoff,"['Baranoff, Etti G.']"
"Croci, Ettore",Ettore Croci,"['Croci, Ettore']"
"Damiano, Ettore",Ettore Damiano,"['Damiano, Ettore', 'Ettore Damiano']"
Ettore F. Infante,Ettore F. Infante,"['Ettore F. Infante', 'Infante, Ettore F', 'Infante, Ettore F.']"
"Panetti, Ettore",Ettore Panetti,"['Panetti, Ettore']"
"Phimister, Euan",Euan Phimister,"['Phimister, Euan', 'Euan Phimister']"
"Kovác, Eugen",Eugen Kovác,"['Kovác, Eugen']"
"Ková?, Eugen",Eugen Ková?,"['Ková?, Eugen']"
"Nowak, Eugen",Eugen Nowak,"['Nowak, Eugen']"
Eugen P. Schwiedland,Eugen P. Schwiedland,['Eugen P. Schwiedland']
"Töws, Eugen",Eugen Töws,"['Töws, Eugen']"
Eugen von Philippovich,Eugen von Philippovich,"['Eugen von Philippovich', 'E. von Philippovich']"
"Noser, Eugene A, Jr",Eugene A Noser,"['Noser, Eugene A, Jr']"
Eugene A. Brady,Eugene A. Brady,"['Eugene A. Brady', 'Brady, Eugene A']"
"Pilotte, Eugene A.",Eugene A. Pilotte,"['Pilotte, Eugene A.', 'Pilotte, Eugene', 'Eugene A. Pilotte']"
